User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement,iReady_Placement
670188,School11,3,Reading,533,Early,3
672001,School12,3,Reading,497,Grade,2
674317,School15,3,Reading,592,Late,3
675295,School6,3,Reading,608,Grade,4
677590,School6,3,Reading,522,Early,3
678166,School12,3,Reading,569,Late,3
678915,School11,3,Reading,488,Grade,2
681305,School11,3,Reading,366,Grade,0
681503,School3,3,Reading,505,Grade,2
686794,School6,3,Reading,563,Late,3
694438,School11,3,Reading,447,Grade,1
694493,School6,3,Reading,457,Grade,1
695194,School11,3,Reading,473,Grade,1
697042,School11,3,Reading,604,Grade,4
697148,School11,3,Reading,535,Early,3
698934,School14,3,Reading,589,Late,3
701117,School5,3,Reading,533,Early,3
701862,School6,3,Reading,581,Late,3
704411,School11,3,Reading,472,Grade,1
705015,School11,3,Reading,497,Grade,2
705110,School5,3,Reading,505,Grade,2
706522,School10,3,Reading,439,Grade,1
706663,School10,3,Reading,511,Early,3
707620,School11,3,Reading,675,Grade,7
709911,School3,3,Reading,524,Early,3
710680,School5,3,Reading,483,Grade,2
710861,School6,3,Reading,531,Early,3
712454,School6,3,Reading,556,Mid,3
712994,School10,3,Reading,503,Grade,2
713916,School11,3,Reading,646,Grade,6
714309,School15,3,Reading,481,Grade,2
717261,School6,3,Reading,512,Early,3
722627,School14,3,Reading,549,Mid,3
725019,School14,3,Reading,561,Late,3
726011,School10,3,Reading,557,Mid,3
728682,School6,3,Reading,441,Grade,1
728825,School10,3,Reading,510,Grade,2
729481,School14,3,Reading,586,Late,3
731819,School3,3,Reading,405,Grade,0
731874,School14,3,Reading,472,Grade,1
732170,School3,3,Reading,531,Early,3
732966,School11,3,Reading,463,Grade,1
733373,School6,3,Reading,453,Grade,1
736533,School10,3,Reading,577,Late,3
736670,School9,3,Reading,568,Late,3
740033,School11,3,Reading,491,Grade,2
740680,School12,3,Reading,560,Mid,3
742257,School12,3,Reading,524,Early,3
743080,School11,3,Reading,557,Mid,3
748422,School11,3,Reading,488,Grade,2
748883,School6,3,Reading,532,Early,3
751671,School6,3,Reading,567,Late,3
753032,School11,3,Reading,650,Grade,6
755416,School12,3,Reading,491,Grade,2
755699,School5,3,Reading,509,Grade,2
764553,School14,3,Reading,534,Early,3
765385,School6,3,Reading,476,Grade,2
768919,School11,3,Reading,592,Late,3
769104,School11,3,Reading,612,Grade,4
769261,School16,3,Reading,491,Grade,2
772524,School3,3,Reading,517,Early,3
775534,School15,3,Reading,499,Grade,2
775666,School14,3,Reading,468,Grade,1
775695,School6,3,Reading,507,Grade,2
776536,School10,3,Reading,495,Grade,2
777366,School10,3,Reading,478,Grade,2
780017,School10,3,Reading,573,Late,3
780150,School12,3,Reading,576,Late,3
780675,School11,3,Reading,448,Grade,1
781039,School11,3,Reading,526,Early,3
781051,School14,3,Reading,559,Mid,3
782715,School6,3,Reading,512,Early,3
783011,School6,3,Reading,519,Early,3
786932,School10,3,Reading,479,Grade,2
788138,School10,3,Reading,505,Grade,2
788696,School1,3,Reading,569,Late,3
792617,School11,3,Reading,565,Late,3
796778,School1,3,Reading,647,Grade,6
797760,School11,3,Reading,583,Late,3
800354,School5,3,Reading,499,Grade,2
801260,School12,3,Reading,530,Early,3
804460,School15,3,Reading,563,Late,3
805016,School1,3,Reading,516,Early,3
806941,School11,3,Reading,625,Grade,4
807516,School14,3,Reading,609,Grade,4
808063,School11,3,Reading,510,Grade,2
808392,School3,3,Reading,491,Grade,2
809773,School14,3,Reading,470,Grade,1
810526,School3,3,Reading,538,Early,3
811851,School14,3,Reading,619,Grade,4
815328,School10,3,Reading,568,Late,3
818317,School15,3,Reading,544,Early,3
819534,School5,3,Reading,599,Late,3
820070,School5,3,Reading,524,Early,3
820613,School1,3,Reading,608,Grade,4
824214,School11,3,Reading,546,Mid,3
825283,School6,3,Reading,605,Grade,4
835140,School11,3,Reading,618,Grade,4
837544,School14,3,Reading,551,Mid,3
837770,School14,3,Reading,574,Late,3
842914,School10,3,Reading,566,Late,3
845039,School15,3,Reading,579,Late,3
845524,School11,3,Reading,498,Grade,2
846617,School6,3,Reading,535,Early,3
850179,School15,3,Reading,566,Late,3
851807,School14,3,Reading,571,Late,3
852552,School11,3,Reading,432,Grade,1
853826,School1,3,Reading,565,Late,3
855778,School14,3,Reading,587,Late,3
858805,School12,3,Reading,553,Mid,3
