User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement
185660,School7,8,Reading,679,Late 8
185728,School5,5,Reading,625,Mid 5
186007,School8,6,Reading,595,Grade 5
186223,School7,8,Reading,628,Early 8
186245,School12,4,Reading,562,Early 4
186323,School10,5,Reading,565,Grade 4
186375,School7,8,Reading,619,Grade 7
187697,School3,5,Reading,573,Grade 4
188064,School13,6,Reading,587,Grade 5
188065,School6,3,Reading,481,Grade 2
188103,School12,5,Reading,519,Grade 3
188143,School15,5,Reading,600,Early 5
188272,School11,4,Reading,513,Grade 3
188434,School5,4,Reading,554,Grade 3
188497,School7,8,Reading,679,Late 8
188753,School8,8,Reading,643,Mid 8
188927,School11,4,Reading,606,Late 4
189258,School13,8,Reading,618,Grade 7
189300,School8,7,Reading,634,Mid 7
189402,School1,4,Reading,696,Grade 7
190202,School6,3,Reading,521,Early 3
190446,School12,5,Reading,567,Grade 4
190708,School7,6,Reading,577,Grade 5
190885,School11,3,Reading,638,Grade 5
191393,School13,6,Reading,622,Mid 6
191806,School5,4,Reading,496,Grade 3
192644,School11,4,Reading,717,Grade 7
192662,School6,4,Reading,617,Late 4
192798,School11,3,Reading,573,Late 3
193023,School2,3,Reading,522,Early 3
193038,School8,8,Reading,563,Grade 4
193140,School8,6,Reading,630,Mid 6
193272,School10,3,Reading,564,Late 3
193388,School8,6,Reading,611,Early 6
193502,School15,4,Reading,560,Early 4
193679,School13,8,Reading,667,Mid 8
193779,School11,4,Reading,484,Grade 2
194393,School1,4,Reading,577,Early 4
194409,School3,5,Reading,570,Grade 4
194957,School12,3,Reading,534,Early 3
195216,School13,7,Reading,620,Early 7
195313,School7,7,Reading,580,Grade 5
195409,School13,6,Reading,523,Grade 3
195441,School11,3,Reading,446,Grade 1
195570,School7,8,Reading,563,Grade 4
195608,School1,4,Reading,474,Grade 2
195663,School14,5,Reading,678,Grade 8
195666,School7,7,Reading,684,Grade 8
196155,School12,4,Reading,529,Grade 3
196468,School7,8,Reading,588,Grade 6
196543,School8,6,Reading,608,Early 6
196950,School15,3,Reading,508,Grade 2
197100,School12,4,Reading,549,Grade 3
197354,School7,7,Reading,565,Grade 4
197657,School8,8,Reading,666,Mid 8
198557,School13,7,Reading,591,Grade 6
199129,School5,5,Reading,624,Mid 5
199203,School8,6,Reading,644,Late 6
199461,School8,6,Reading,693,Grade 9
199965,School4,7,Reading,557,Grade 4
201099,School6,3,Reading,525,Early 3
201701,School11,5,Reading,548,Grade 4
201826,School10,3,Reading,562,Late 3
202061,School5,3,Reading,550,Mid 3
202244,School6,3,Reading,556,Mid 3
202373,School6,5,Reading,572,Grade 4
202849,School7,6,Reading,608,Early 6
202912,School15,5,Reading,631,Late 5
203276,School7,7,Reading,649,Mid 7
204211,School13,7,Reading,552,Grade 4
204584,School7,8,Reading,640,Early 8
205271,School8,6,Reading,601,Early 6
205377,School7,8,Reading,610,Grade 7
205485,School7,8,Reading,577,Grade 5
205905,School6,5,Reading,524,Grade 3
205961,School7,7,Reading,576,Grade 5
205983,School7,6,Reading,568,Grade 5
206299,School11,3,Reading,616,Grade 4
206358,School10,5,Reading,534,Grade 3
206965,School7,8,Reading,649,Mid 8
207469,School1,4,Reading,568,Early 4
207475,School5,3,Reading,508,Grade 2
207946,School14,4,Reading,549,Grade 3
207960,School8,6,Reading,591,Grade 5
208075,School8,6,Reading,634,Mid 6
208194,School5,5,Reading,603,Early 5
208537,School7,6,Reading,655,Grade 7
208566,School7,6,Reading,636,Mid 6
208861,School7,6,Reading,608,Early 6
208930,School11,5,Reading,581,Early 5
208965,School11,4,Reading,521,Grade 3
209400,School11,4,Reading,574,Early 4
209502,School7,6,Reading,528,Grade 3
209940,School13,8,Reading,553,Grade 4
210208,School14,5,Reading,550,Grade 4
211032,School5,5,Reading,554,Grade 4
211756,School8,6,Reading,615,Early 6
211893,School5,5,Reading,556,Grade 4
